Title	Cost	Students	Duration	Lectures	Levels	Ratings								
Python From Scratch & Selenium WebDriver From Scratch	₹420	"(1,009)"	9.5 total hours	73 lectures	Beginner	3.8								
The Complete Python Programming Bootcamp	₹420	(504)	9 total hours	96 lectures	All Levels	4.3								
Learn Python Programming From Scratch	₹420	(616)	6.5 total hours	40 lectures	Beginner	4.7								
Python for Penetration Testers	₹420	(887)	2 total hours	11 lectures	Intermediate	4.2								
Python 3: Deep Dive (Part 4 - OOP)	₹420	(758)	35 total hours	162 lectures	Intermediate	4.9								
Machine Learning and Data Science Hands-on with Python and R	₹444	"(1,240)"	72.5 total hours	522 lectures	All Levels	3.6								
Python 3 For Offensive PenTest: A Complete Practical Course	₹420	"(1,295)"	5 total hours	58 lectures	Intermediate	4.6								
Master Math by Coding in Python	₹420	(930)	34.5 total hours	164 lectures	All Levels	4.7								
Django & Python: complete BUNDLE + Django real project 2020	₹444	"(1,765)"	56 total hours	359 lectures	All Levels	4.5								
Python For Maya: Artist Friendly Programming	₹420	"(1,214)"	8 total hours	77 lectures	All Levels	4.4								
Python for Beginners - Learn Programming from scratch	₹420	(887)	2.5 total hours	42 lectures	All Levels	4.6								
Python - A Beginners guide towards Python Programming	₹420	(559)	4.5 total hours	21 lectures	All Levels	4.3								
Python Best Parts: Standard Library (Beginner to Advanced)	₹420	(970)	33 total mins	14 lectures	All Levels	4.6								
Design Patterns in Python	₹420	(920)	9 total hours	107 lectures	Intermediate	4.4								
Python on the Backend	₹420	(548)	4 total hours	29 lectures	All Levels	4.5								
Customer Analytics in Python 2020	₹420	(521)	5 total hours	77 lectures	Intermediate	4.6								
GUI Development with Python and Tkinter	₹420	(890)	11 total hours	116 lectures	Intermediate	4.6								
Python & Introduction to Data Science	₹420	(994)	9 total hours	68 lectures	Beginner	4.4								
Unit Testing and Test Driven Development in Python	₹420	(947)	2 total hours	23 lectures	Beginner	4.3								
Complete Python Scripting for Automation	₹420	(793)	25 total hours	102 lectures	Beginner	4.4								
Python Data Structures A to Z	₹420	(594)	2 total hours	15 lectures	Intermediate	4.2								
Machine Learning and AI: Support Vector Machines in Python	₹420	(614)	9 total hours	73 lectures	Expert	4.5								
Python Programming For Network Engineers	₹420	(640)	11 total hours	84 lectures	Beginner	4.0								
Logistic Regression in Python	₹420	(642)	7.5 total hours	80 lectures	All Levels	4.2								
Complete Linear Regression Analysis in Python	₹420	(855)	7.5 total hours	69 lectures	All Levels	4.3								
"Web Scraping with Python: BeautifulSoup, Requests & Selenium"	₹420	(799)	8 total hours	72 lectures	Intermediate	4.1								
Complete Data Analysis with Pandas : Hands-on Pandas Python	₹420	(521)	17 total hours	150 lectures	All Levels	4.4								
Machine Learning & Deep Learning in Python & R	₹420	(751)	35 total hours	279 lectures	All Levels	4.4								
Python Django Web Development: To-Do App	₹420	(871)	2 total hours	31 lectures	Beginner	4.5								
Project Based Python Programming For Kids & Beginners	₹432	(589)	5 total hours	55 lectures	All Levels	4.2								
Introduction To Python For Ethical Hacking	₹420	(933)	2.5 total hours	16 lectures	All Levels	4.0								
Time Series Analysis in Python 2020	₹420	(861)	7.5 total hours	97 lectures	All Levels	4.4								
Python Game Development™ : Build 11 Total Games	₹420	(625)	33.5 total hours	174 lectures	Beginner	4.0								
Python for Beginners - Go from Java to Python in 100 Steps	₹420	(641)	8 total hours	103 lectures	All Levels	4.5								
CCA 175 - Spark and Hadoop Developer - Python (pyspark)	₹450	"(1,190)"	23 total hours	158 lectures	Intermediate	4.4								
Python Fundamentals	₹420	(372)	6.5 total hours	49 lectures	Beginner	4.5								
Python Programming Bible: Hands-On Python 3 with 10 Projects	₹420	(230)	14 total hours	108 lectures	All Levels	4.7								
"Basics of Python & arcpy , the Python library of ESRI ArcGIS"	₹420	(713)	2.5 total hours	20 lectures	Beginner	4.2								
Python For Absolute Beginners - Learn To Code In Python	₹420	(134)	4 total hours	42 lectures	Beginner	4.4								
The Art of Doing: Code 40 Challenging Python Programs Today!	₹700	(762)	28.5 total hours	157 lectures	Beginner	4.7								
Neural Networks in Python: Deep Learning for Beginners	₹420	(824)	9 total hours	64 lectures	All Levels	4.4								
Learn To Create AI Assistant (JARVIS) With Python	₹420	(972)	2.5 total hours	25 lectures	Beginner	4.3								
Projects In Python For Intermediate :Build Python Projects	₹420	(189)	10.5 total hours	75 lectures	Intermediate	4.0								
Python For Beginners : Quick Start Guide to Python 3	₹420	(179)	7.5 total hours	127 lectures	Beginner	4.6								
Mastering Python - Networking and Security	₹420	(615)	5 total hours	75 lectures	Intermediate	4.1								
Cucumber BDD with Python 3 Behave and Selenium WebDriver	₹420	(599)	18.5 total hours	131 lectures	All Levels	4.4								
Python Basics	₹420	(487)	2 total hours	14 lectures	Beginner	4.2								
Python For Beginners: Learn Python With Hands-On Examples	₹420	(143)	5.5 total hours	72 lectures	Beginner	4.3								
CNN for Computer Vision with Keras and TensorFlow in Python	₹420	(545)	7 total hours	53 lectures	All Levels	4.3								
100 Interactive Python Exercises to Boost Your Python Skill	₹420	(230)	1.5 total hours	21 lectures	All Levels	4.5								
Python Hero: Full Course with Projects ||Hindi/Urdu||	₹420	(574)	9 total hours	73 lectures	All Levels	4.2								
Programming with Python	₹420	(251)	18 total hours	130 lectures	All Levels	4.5								
Python in Containers	₹420	(139)	24 total hours	115 lectures	Beginner	4.8								
"Python for Data science, Machine Learning and AI (Beginners)"	₹420	(471)	7.5 total hours	84 lectures	All Levels	4.3								
Complete Python Tutorial for Beginners	₹420	(143)	16 total hours	125 lectures	Beginner	4.6								
Complete Time Series Analysis With Python	₹420	(628)	4 total hours	50 lectures	All Levels	3.9								
Python A-Z: Learn Python Programming By Building 10 Projects	₹426	(451)	14.5 total hours	175 lectures	All Levels	4.3								
Learn Advanced Python Programming	₹420	(448)	28.5 total hours	141 lectures	Intermediate	4.0								
Python : Comprehensive Bootcamp (Beginner To Professional)	₹420	(313)	36 total hours	337 lectures	Beginner	4.5								
Python 3 Workout - Solve 250 Coding Exercises!	₹420	(172)	1 total hour	269 lectures	Intermediate	4.4								
Python for Beginners 2020: The Hands-on Concise Crash Course	₹420	(195)	6.5 total hours	97 lectures	All Levels	4.6								
AWS Automation with boto3 of Python and Lambda Functions	₹420	(582)	10 total hours	48 lectures	Beginner	4.6								
Python 3 from Beginner to Expert - Learn Python from Scratch	₹432	(135)	20 total hours	138 lectures	Beginner	4.5								
Selenium with Python|Best for beginner | Frameworks -34+ hrs	₹420	(716)	33.5 total hours	348 lectures	All Levels	4.2								
Python Programming For Everyone	₹420	(171)	2 total hours	29 lectures	Beginner	4.0								
Python for New learners: Introduction to python programming	₹420	(266)	2.5 total hours	17 lectures	Beginner	4.8								
"Python 3: Project-based Python, Algorithms, Data Structures"	₹420	(583)	14.5 total hours	102 lectures	All Levels	4.6								
Complete Python Beginner To Developer Course: Build Projects	₹420	(137)	29.5 total hours	198 lectures	Beginner	4.1								
Learn Python In A Day With 6 Projects	₹420	(159)	3.5 total hours	43 lectures	Beginner	4.3								
"Python Programming for Excel Users - NumPy, Pandas and More!"	₹420	(280)	3.5 total hours	70 lectures	Beginner	4.5								
Complete Python 3 Programming Bootcamp: Beginner to Advanced	₹420	(296)	20 total hours	94 lectures	All Levels	4.4								
Python 3 Masterclass step by step with coding exercises.	₹420	(136)	17.5 total hours	123 lectures	All Levels	4.8								
Python Programming Complete A-Z Training: 2020 Edition	₹420	(121)	31 total hours	88 lectures	All Levels	4.3								
Learn Python With 20+ Real World Projects [In 2020]	₹420	(431)	6 total hours	22 lectures	Beginner	3.9								
Learn Python Fast and Easy Way	₹420	(312)	3.5 total hours	25 lectures	Beginner	4.3								
Python For Beginners - The Basics Of Python Development	₹420	(476)	1 total hour	13 lectures	Beginner	4.2								
"Signal processing problems, solved in MATLAB and in Python"	₹420	(969)	12.5 total hours	99 lectures	Beginner	4.6								
Practical Python Programming Practices (100 Common Projects)	₹420	(228)	8 total hours	109 lectures	All Levels	4.3								
LEARNING PATH: Python: Functional Programming with Python	₹420	(169)	5.5 total hours	45 lectures	Beginner	4.3								
Learn Python: The Complete Python Automation Course!	₹420	(332)	5.5 total hours	55 lectures	All Levels	4.3								
Using MySQL Databases With Python	₹420	(430)	2 total hours	25 lectures	Beginner	4.3								
Complete Python Course: from Basics to Brilliance in HD	₹420	(281)	2.5 total hours	75 lectures	All Levels	4.2								
Python Programming for beginners: Quickly learn python	₹420	(124)	6 total hours	66 lectures	Beginner	4.6								
Python - From Beginner to Winner	₹420	(174)	3 total hours	39 lectures	Beginner	4.3								
"Python 3 in 1: Basics, Advanced and Django"	₹420	(407)	20.5 total hours	128 lectures	All Levels	3.6								
Database Programming with Python	₹420	(174)	8.5 total hours	74 lectures	Beginner	4.2								
The Complete Python Programmer: From Scratch to Applications	₹420	(297)	14.5 total hours	131 lectures	Beginner	4.4								
Python for Beginners:Introduction to Python	₹420	(119)	7 total hours	48 lectures	Beginner	4.1								
Python Design Patterns	₹420	(231)	2.5 total hours	28 lectures	Beginner	4.0								
Python Excel - Read Write Copy Search Excel Files - OpenPyXL	₹432	(237)	2.5 total hours	26 lectures	All Levels	4.4								
Python OOPS: Object Oriented Programming For Python Beginner	₹438	(120)	3 total hours	36 lectures	All Levels	4.3								
Python GUI : From A-to-Z With 2 Final Projects	₹420	(388)	3 total hours	41 lectures	All Levels	3.7								
Selenium Python - Step by Step for Beginners with Framework	₹420	(473)	10 total hours	55 lectures	All Levels	4.5								
"Complete Guide to Protocol Buffers 3 [Java, Golang, Python]"	₹420	"(1,729)"	3.5 total hours	69 lectures	Beginner	4.7								
Python Network Programming - TCP/IP Socket Programming	₹420	(330)	3.5 total hours	32 lectures	All Levels	4.3								
Intro To TKinter for Python GUI Apps	₹420	(201)	4.5 total hours	51 lectures	Beginner	4.5								
Generate and visualize data in Python and MATLAB	₹420	(272)	6.5 total hours	46 lectures	All Levels	4.9								
Control Excel with Python & OpenPyXL	₹432	(205)	3 total hours	47 lectures	Intermediate	4.1								
Top Python and Javascript Programming Bundle	₹420	(310)	4 total hours	55 lectures	Beginner	4.4								
API Testing : REST API Testing using Python for Beginners	₹420	(284)	4.5 total hours	31 lectures	All Levels	4.6								
Linked List Data Structure using Python	₹420	(206)	4 total hours	56 lectures	Intermediate	4.5								
Learn Data Mining and Machine Learning With Python	₹420	(274)	6.5 total hours	82 lectures	All Levels	4.4								
Data Structures and Algorithms: In-Depth using Python	₹420	(478)	35 total hours	254 lectures	All Levels	4.4								
Complete Data Wrangling & Data Visualisation With Python	₹420	(392)	6 total hours	51 lectures	All Levels	4.4								
Data Visualisation with Plotly and Python	₹420	(274)	23 total hours	143 lectures	Intermediate	4.1								
Top Python and Django Web Development Bundle!	₹420	(268)	11 total hours	145 lectures	Beginner	4.7								
Python & Django Framework Course: The Complete Guide	₹420	(338)	3 total hours	65 lectures	All Levels	4.2								
The Flask Mega-Tutorial (Python Web Development)	"₹1,920"	(284)	11.5 total hours	192 lectures	Beginner	4.6								
Build a Weather App With Python and Django	₹420	(140)	2.5 total hours	30 lectures	Beginner	4.6								
Scrapy : Python Web Scraping & Crawling for Beginners	₹420	(140)	4 total hours	27 lectures	All Levels	4.4								
Python Regression Analysis: Statistics & Machine Learning	₹420	(130)	6 total hours	51 lectures	All Levels	4.4								
Python And Django Framework For Beginners Complete Course	₹420	(118)	13 total hours	77 lectures	Beginner	4.2								
Offensive Python | Mastering Ethical Hacking Using Python	₹420	(135)	4 total hours	35 lectures	All Levels	4.2								
Clustering & Classification With Machine Learning In Python	₹420	(167)	6 total hours	57 lectures	All Levels	4.6								
HDPCD:Spark using Python (pyspark)	₹420	(491)	11.5 total hours	61 lectures	Intermediate	3.6								
The Ultimate Tkinter Course: GUI for Python projects	₹420	(330)	3.5 total hours	42 lectures	All Levels	4.7								
Internet of Things with Python Programming	₹420	(130)	30.5 total hours	27 lectures	All Levels	4.2								
Python 3 for Beginners | Learn by Creating a Simple Game	₹420	(188)	2.5 total hours	30 lectures	Beginner	4.4								
Build An MP3 Player With Python And TKinter GUI Apps	₹420	(158)	3 total hours	42 lectures	Intermediate	4.5								
Software development in Python: A practical approach	₹420	(207)	10.5 total hours	103 lectures	All Levels	4.1								
Create Your Own Hacking Tools in Python	₹432	(385)	6.5 total hours	33 lectures	All Levels	4.5								
Artificial Intelligence and Predictive Analysis using Python	₹420	(156)	6.5 total hours	59 lectures	Intermediate	4.8								
Tensorflow Deep Learning - Data Science in Python	₹420	(158)	7 total hours	69 lectures	All Levels	4.5								
Master the Python interview (special banks & startups)	₹420	(211)	3 total hours	35 lectures	Beginner	4.3								
Learn Python and Django: Payment Processing	₹420	(255)	4 total hours	26 lectures	All Levels	4.0								
"Scalable Web Applications with Python, Flask, and SQLAlchemy"	₹420	(431)	5.5 total hours	61 lectures	Beginner	4.3								
The Complete Python Developer Certification Course	₹420	(452)	11.5 total hours	58 lectures	All Levels	4.6								
Complete 2-in-1 Python for Business and Finance Bootcamp	₹420	(354)	36 total hours	383 lectures	All Levels	4.3								
Python Ethical Hacking : Build tools for ethical hacking	₹420	(496)	10 total hours	122 lectures	Beginner	4.3								
Data Manipulation in Python: A Pandas Crash Course	₹420	(374)	9 total hours	57 lectures	Beginner	4.6								
Python Course From Basic to Advanced	₹420	(267)	7.5 total hours	20 lectures	Beginner	4.2								
Take-off: Master Data Science with Python in 10 Hours | 2020	₹420	(190)	10.5 total hours	61 lectures	All Levels	4.4								
New to Python Automation..?Try Step by Step Python 4 Testers	₹420	(160)	10 total hours	136 lectures	All Levels	4.7								
